"No.","Time","Source","Destination","Protocol","Length","Info"
"115","3.034964912","127.0.0.1","127.0.0.1","TCP","580","8010  >  57294 [PSH, ACK] Seq=7169 Ack=14849 Win=3169 Len=512 TSval=1652181310 TSecr=1652181305"
"116","3.035042535","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=14849 Ack=7681 Win=1299 Len=512 TSval=1652181310 TSecr=1652181310"
"117","3.035054957","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=7681 Ack=15361 Win=3177 Len=0 TSval=1652181310 TSecr=1652181310"
"120","3.241348715","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=15361 Ack=7681 Win=1299 Len=512 TSval=1652181517 TSecr=1652181310"
"121","3.241388901","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=7681 Ack=15873 Win=3185 Len=0 TSval=1652181517 TSecr=1652181517"
"122","3.253995373","127.0.0.1","127.0.0.1","TCP","580","8010  >  57294 [PSH, ACK] Seq=7681 Ack=15873 Win=3185 Len=512 TSval=1652181529 TSecr=1652181517"
"123","3.254255669","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=15873 Ack=8193 Win=1308 Len=512 TSval=1652181530 TSecr=1652181529"
"124","3.254293426","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=8193 Ack=16385 Win=3194 Len=0 TSval=1652181530 TSecr=1652181530"
"127","3.439578651","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=16385 Ack=8193 Win=1308 Len=512 TSval=1652181715 TSecr=1652181530"
"128","3.439601179","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=8193 Ack=16897 Win=3202 Len=0 TSval=1652181715 TSecr=1652181715"
"129","3.451172892","127.0.0.1","127.0.0.1","TCP","580","8010  >  57294 [PSH, ACK] Seq=8193 Ack=16897 Win=3202 Len=512 TSval=1652181727 TSecr=1652181715"
"130","3.451479765","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=16897 Ack=8705 Win=1316 Len=512 TSval=1652181727 TSecr=1652181727"
"131","3.499457191","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=8705 Ack=17409 Win=3211 Len=0 TSval=1652181775 TSecr=1652181727"
"132","3.638909845","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=17409 Ack=8705 Win=1316 Len=512 TSval=1652181914 TSecr=1652181775"
"133","3.638937429","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=8705 Ack=17921 Win=3219 Len=0 TSval=1652181914 TSecr=1652181914"
"134","3.655676473","127.0.0.1","127.0.0.1","TCP","580","8010  >  57294 [PSH, ACK] Seq=8705 Ack=17921 Win=3219 Len=512 TSval=1652181931 TSecr=1652181914"
"135","3.656002369","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=17921 Ack=9217 Win=1325 Len=512 TSval=1652181931 TSecr=1652181931"
"136","3.656046986","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=9217 Ack=18433 Win=3227 Len=0 TSval=1652181931 TSecr=1652181931"
"139","3.838740450","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=18433 Ack=9217 Win=1325 Len=512 TSval=1652182114 TSecr=1652181931"
"140","3.838780143","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=9217 Ack=18945 Win=3236 Len=0 TSval=1652182114 TSecr=1652182114"
"141","3.852851853","127.0.0.1","127.0.0.1","TCP","580","8010  >  57294 [PSH, ACK] Seq=9217 Ack=18945 Win=3236 Len=512 TSval=1652182128 TSecr=1652182114"
"142","3.853176048","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=18945 Ack=9729 Win=1333 Len=512 TSval=1652182129 TSecr=1652182128"
"143","3.853230273","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=9729 Ack=19457 Win=3244 Len=0 TSval=1652182129 TSecr=1652182129"
"144","4.040448038","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=19457 Ack=9729 Win=1333 Len=512 TSval=1652182316 TSecr=1652182129"
"145","4.040486824","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=9729 Ack=19969 Win=3252 Len=0 TSval=1652182316 TSecr=1652182316"
"146","4.054929228","127.0.0.1","127.0.0.1","TCP","580","8010  >  57294 [PSH, ACK] Seq=9729 Ack=19969 Win=3252 Len=512 TSval=1652182330 TSecr=1652182316"
"147","4.055281573","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=19969 Ack=10241 Win=1341 Len=512 TSval=1652182331 TSecr=1652182330"
"148","4.103451538","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=10241 Ack=20481 Win=3261 Len=0 TSval=1652182379 TSecr=1652182331"
"149","4.235507526","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=20481 Ack=10241 Win=1341 Len=512 TSval=1652182511 TSecr=1652182379"
"150","4.235545445","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=10241 Ack=20993 Win=3269 Len=0 TSval=1652182511 TSecr=1652182511"
"151","4.250869791","127.0.0.1","127.0.0.1","TCP","580","8010  >  57294 [PSH, ACK] Seq=10241 Ack=20993 Win=3269 Len=512 TSval=1652182526 TSecr=1652182511"
"152","4.251187703","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=20993 Ack=10753 Win=1350 Len=512 TSval=1652182527 TSecr=1652182526"
"153","4.251244294","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=10753 Ack=21505 Win=3278 Len=0 TSval=1652182527 TSecr=1652182527"
"154","4.442447644","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=21505 Ack=10753 Win=1350 Len=512 TSval=1652182718 TSecr=1652182527"
"155","4.442487839","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=10753 Ack=22017 Win=3286 Len=0 TSval=1652182718 TSecr=1652182718"
"156","4.456571810","127.0.0.1","127.0.0.1","TCP","580","8010  >  57294 [PSH, ACK] Seq=10753 Ack=22017 Win=3286 Len=512 TSval=1652182732 TSecr=1652182718"
"157","4.456873669","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=22017 Ack=11265 Win=1358 Len=512 TSval=1652182732 TSecr=1652182732"
"158","4.456934198","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=11265 Ack=22529 Win=3294 Len=0 TSval=1652182732 TSecr=1652182732"
"159","4.657038410","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=22529 Ack=11265 Win=1358 Len=512 TSval=1652182932 TSecr=1652182732"
"160","4.657078395","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=11265 Ack=23041 Win=3303 Len=0 TSval=1652182932 TSecr=1652182932"
"161","4.670805540","127.0.0.1","127.0.0.1","TCP","580","8010  >  57294 [PSH, ACK] Seq=11265 Ack=23041 Win=3303 Len=512 TSval=1652182946 TSecr=1652182932"
"162","4.671108150","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=23041 Ack=11777 Win=1366 Len=512 TSval=1652182946 TSecr=1652182946"
"163","4.711427730","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=11777 Ack=23553 Win=3311 Len=0 TSval=1652182987 TSecr=1652182946"
"164","4.869579886","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=23553 Ack=11777 Win=1366 Len=512 TSval=1652183145 TSecr=1652182987"
"165","4.869593998","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=11777 Ack=24065 Win=3319 Len=0 TSval=1652183145 TSecr=1652183145"
"166","4.873904899","127.0.0.1","127.0.0.1","TCP","580","8010  >  57294 [PSH, ACK] Seq=11777 Ack=24065 Win=3319 Len=512 TSval=1652183149 TSecr=1652183145"
"167","4.874007463","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=24065 Ack=12289 Win=1375 Len=512 TSval=1652183149 TSecr=1652183149"
"168","4.874022221","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=12289 Ack=24577 Win=3328 Len=0 TSval=1652183149 TSecr=1652183149"
"172","5.107547189","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=24577 Ack=12289 Win=1375 Len=512 TSval=1652183383 TSecr=1652183149"
"173","5.107615414","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=12289 Ack=25089 Win=3336 Len=0 TSval=1652183383 TSecr=1652183383"
"181","5.122432551","127.0.0.1","127.0.0.1","TCP","580","8010  >  57294 [PSH, ACK] Seq=12289 Ack=25089 Win=3336 Len=512 TSval=1652183398 TSecr=1652183383"
"182","5.122748006","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=25089 Ack=12801 Win=1383 Len=512 TSval=1652183398 TSecr=1652183398"
"183","5.122790401","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=12801 Ack=25601 Win=3345 Len=0 TSval=1652183398 TSecr=1652183398"
"186","5.334578668","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=25601 Ack=12801 Win=1383 Len=512 TSval=1652183610 TSecr=1652183398"
"187","5.334625177","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=12801 Ack=26113 Win=3353 Len=0 TSval=1652183610 TSecr=1652183610"
"188","5.348497173","127.0.0.1","127.0.0.1","TCP","580","8010  >  57294 [PSH, ACK] Seq=12801 Ack=26113 Win=3353 Len=512 TSval=1652183624 TSecr=1652183610"
"189","5.348835298","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=26113 Ack=13313 Win=1392 Len=512 TSval=1652183624 TSecr=1652183624"
"199","5.391380781","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=13313 Ack=26625 Win=3361 Len=0 TSval=1652183667 TSecr=1652183624"
"202","5.573999572","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=26625 Ack=13313 Win=1392 Len=512 TSval=1652183849 TSecr=1652183667"
"203","5.574062525","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=13313 Ack=27137 Win=3370 Len=0 TSval=1652183849 TSecr=1652183849"
"204","5.590501576","127.0.0.1","127.0.0.1","TCP","580","8010  >  57294 [PSH, ACK] Seq=13313 Ack=27137 Win=3370 Len=512 TSval=1652183866 TSecr=1652183849"
"205","5.590822909","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=27137 Ack=13825 Win=1400 Len=512 TSval=1652183866 TSecr=1652183866"
"206","5.590878901","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=13825 Ack=27649 Win=3378 Len=0 TSval=1652183866 TSecr=1652183866"
