    PID CMD                         %CPU
  37485 /opt/google/chrome/chrome - 11.5
  37758 /opt/google/chrome/chrome -  9.6
  66037 /opt/google/chrome/chrome -  9.6
   1756 /usr/bin/gnome-shell         4.7
    PID CMD                         %CPU
  71067 /usr/libexec/tracker-extrac 25.5
  37485 /opt/google/chrome/chrome - 11.5
  37758 /opt/google/chrome/chrome -  9.6
1756 (gnome-shell) 1005558 83463 1089021
3255 (chrome) 590099 174308 764407
1615 (Xorg) 191852 146390 338242
3220 (chrome) 260518 74035 334553
1524 (pulseaudio) 118264 186040 304304
1756 (gnome-shell) 1005560 83463 1089023
3255 (chrome) 590104 174309 764413
1615 (Xorg) 191854 146390 338244
3220 (chrome) 260518 74035 334553
1524 (pulseaudio) 118264 186041 304305
1756 (gnome-shell) 1005563 83463 1089026
3255 (chrome) 590109 174311 764420
1615 (Xorg) 191855 146391 338246
3220 (chrome) 260518 74035 334553
1524 (pulseaudio) 118265 186041 304306
1756 (gnome-shell) 1005564 83464 1089028
3255 (chrome) 590115 174312 764427
1615 (Xorg) 191856 146391 338247
3220 (chrome) 260518 74035 334553
1524 (pulseaudio) 118265 186042 304307
1756 (gnome-shell) 1005567 83464 1089031
3255 (chrome) 590119 174313 764432
1615 (Xorg) 191857 146392 338249
3220 (chrome) 260518 74035 334553
1524 (pulseaudio) 118266 186042 304308
1756 (gnome-shell) 1005569 83464 1089033
3255 (chrome) 590122 174315 764437
1615 (Xorg) 191858 146392 338250
3220 (chrome) 260518 74035 334553
1524 (pulseaudio) 118266 186043 304309
1756 (gnome-shell) 1005571 83464 1089035
3255 (chrome) 590125 174316 764441
1615 (Xorg) 191858 146393 338251
3220 (chrome) 260518 74035 334553
1524 (pulseaudio) 118266 186043 304309
1756 (gnome-shell) 1005573 83464 1089037
3255 (chrome) 590128 174316 764444
1615 (Xorg) 191859 146393 338252
3220 (chrome) 260518 74035 334553
1524 (pulseaudio) 118267 186043 304310
1756 (gnome-shell) 1005574 83465 1089039
3255 (chrome) 590131 174316 764447
1615 (Xorg) 191860 146394 338254
3220 (chrome) 260518 74035 334553
1524 (pulseaudio) 118267 186044 304311
1756 (gnome-shell) 1005577 83465 1089042
3255 (chrome) 590134 174317 764451
1615 (Xorg) 191861 146394 338255
3220 (chrome) 260518 74035 334553
1524 (pulseaudio) 118268 186044 304312
1756 (gnome-shell) 1005579 83465 1089044
1756 (gnome-shell) 1005581 83466 1089047
3255 (chrome) 590142 174320 764462
1756 (gnome-shell) 1005583 83466 1089049
3255 (chrome) 590147 174322 764469
1615 (Xorg) 191864 146395 338259
1756 (gnome-shell) 1005585 83466 1089051
3255 (chrome) 590151 174322 764473
1615 (Xorg) 191865 146396 338261
3220 (chrome) 260519 74035 334554
1756 (gnome-shell) 1005588 83466 1089054
3255 (chrome) 590154 174323 764477
1615 (Xorg) 191865 146397 338262
3220 (chrome) 260519 74035 334554
1524 (pulseaudio) 118269 186047 304316
1756 (gnome-shell) 1012985 84466 1097451
3255 (chrome) 599091 176644 775735
1615 (Xorg) 195533 148688 344221
3220 (chrome) 260839 74183 335022
1524 (pulseaudio) 119740 188028 307768
1756 (gnome-shell) 1012986 84466 1097452
3255 (chrome) 599091 176644 775735
1615 (Xorg) 195533 148688 344221
3220 (chrome) 260839 74183 335022
1524 (pulseaudio) 119740 188030 307770
1526 (tracker-miner-f) 171552 4296 175848
3259 (chrome) 91923 40529 132452
3807 (chrome) 64257 56191 120448
105963 (chrome) 66850 17208 84058
866 (mysqld) 10163 10857 21020
239 (irq/51-DELL089C) 0 20295 20295
643 (NetworkManager) 5766 4686 10452
1756 (gnome-shell) 1012989 84466 1097455
3255 (chrome) 599091 176644 775735
1615 (Xorg) 195534 148689 344223
3220 (chrome) 260840 74183 335023
1524 (pulseaudio) 119742 188032 307774
1526 (tracker-miner-f) 171685 4298 175983
3259 (chrome) 91923 40529 132452
